symbol,date,release_time
NWBI,2019-10-21,--
VBTX,2019-10-21,amc
FBK,2019-10-21,amc
EFSC,2019-10-21,amc
OFG,2019-10-21,bmo
WASH,2019-10-21,amc
HSTM,2019-10-21,amc
HMST,2019-10-21,amc
CFB,2019-10-21,amc
FDEF,2019-10-21,amc
BMRC,2019-10-21,bmo
FBMS,2019-10-21,--
EQBK,2019-10-21,amc
BSRR,2019-10-21,--
RBB,2019-10-21,amc
GNTY,2019-10-21,--
MFSF,2019-10-21,--
SMBK,2019-10-21,amc
TACO,2019-10-21,amc
FMAO,2019-10-21,--
LCNB,2019-10-21,--
BFIN,2019-10-21,--
LMT,2019-10-22,bmo
PG,2019-10-22,bmo
SNAP,2019-10-22,amc
MCD,2019-10-22,bmo
TXN,2019-10-22,amc
UTX,2019-10-22,bmo
UPS,2019-10-22,bmo
CNC,2019-10-22,bmo
NEE,2019-10-22,bmo
BIIB,2019-10-22,bmo
NVS,2019-10-22,bmo
NUE,2019-10-22,bmo
KMB,2019-10-22,bmo
IRBT,2019-10-22,amc
ARCH,2019-10-22,bmo
RF,2019-10-22,bmo
PCAR,2019-10-22,bmo
SKX,2019-10-22,amc
CMG,2019-10-22,amc
SHW,2019-10-22,bmo
DFS,2019-10-22,amc
TRV,2019-10-22,bmo
JBLU,2019-10-22,bmo
FITB,2019-10-22,bmo
ABG,2019-10-22,bmo
HA,2019-10-22,amc
BYD,2019-10-22,amc
HOG,2019-10-22,bmo
NEP,2019-10-22,bmo
MTG,2019-10-22,bmo
WHR,2019-10-22,amc
TER,2019-10-22,amc
PHM,2019-10-22,bmo
EEFT,2019-10-22,bmo
CNI,2019-10-22,amc
SIX,2019-10-22,amc
HAS,2019-10-22,bmo
LRN,2019-10-22,amc
DGX,2019-10-22,bmo
IPG,2019-10-22,bmo
EDU,2019-10-22,bmo
PII,2019-10-22,bmo
MPWR,2019-10-22,amc
SNV,2019-10-22,bmo
EQR,2019-10-22,amc
CVTI,2019-10-22,amc
NAVI,2019-10-22,amc
CSL,2019-10-22,amc
FULT,2019-10-22,amc
VCYT,2019-10-22,amc
CSGP,2019-10-22,amc
TRU,2019-10-22,bmo
WRB,2019-10-22,amc
SERV,2019-10-22,--
PSB,2019-10-22,amc
HIW,2019-10-22,amc
MANH,2019-10-22,amc
GPK,2019-10-22,bmo
CIT,2019-10-22,bmo
WBS,2019-10-22,bmo
CSFL,2019-10-22,amc
GATX,2019-10-22,bmo
MTH,2019-10-22,amc
POL,2019-10-22,bmo
SFNC,2019-10-22,bmo
UCBI,2019-10-22,amc
FMBI,2019-10-22,amc
FBP,2019-10-22,bmo
TRMK,2019-10-22,amc
PPBI,2019-10-22,bmo
FBC,2019-10-22,bmo
HCSG,2019-10-22,amc
NTB,2019-10-22,amc
MLI,2019-10-22,--
USNA,2019-10-22,amc
BUSE,2019-10-22,amc
CHCO,2019-10-22,--
NBHC,2019-10-22,amc
FFWM,2019-10-22,bmo
PEBO,2019-10-22,bmo
HAFC,2019-10-22,amc
UCFC,2019-10-22,amc
CALX,2019-10-22,amc
STXB,2019-10-22,amc
WNEB,2019-10-22,--
RBNC,2019-10-22,amc
TRNS,2019-10-22,amc
TRCB,2019-10-22,--
TLC,2019-10-22,--
EBMT,2019-10-22,--
TTS,2019-10-22,bmo
CTG,2019-10-22,bmo
MSFT,2019-10-23,amc
BA,2019-10-23,bmo
TSLA,2019-10-23,amc
F,2019-10-23,amc
PYPL,2019-10-23,amc
CAT,2019-10-23,bmo
LRCX,2019-10-23,amc
BX,2019-10-23,bmo
ALGN,2019-10-23,amc
LLY,2019-10-23,bmo
XLNX,2019-10-23,amc
CLF,2019-10-23,bmo
WM,2019-10-23,bmo
ALXN,2019-10-23,bmo
NOW,2019-10-23,amc
SAVE,2019-10-23,amc
ANTM,2019-10-23,bmo
FCX,2019-10-23,bmo
TMO,2019-10-23,bmo
GD,2019-10-23,bmo
EBAY,2019-10-23,amc
BSX,2019-10-23,bmo
LVS,2019-10-23,amc
ORLY,2019-10-23,amc
IVZ,2019-10-23,bmo
EW,2019-10-23,amc
ROL,2019-10-23,bmo
ASGN,2019-10-23,amc
RRC,2019-10-23,amc
TRN,2019-10-23,amc
NSC,2019-10-23,bmo
BXMT,2019-10-23,amc
GWW,2019-10-23,bmo
MKSI,2019-10-23,amc
WGO,2019-10-23,bmo
MPX,2019-10-23,bmo
CP,2019-10-23,amc
GGG,2019-10-23,amc
ARI,2019-10-23,amc
RUSHA,2019-10-23,amc
AEM,2019-10-23,amc
BPOP,2019-10-23,bmo
BMRN,2019-10-23,amc
TDY,2019-10-23,bmo
CMC,2019-10-23,bmo
PKG,2019-10-23,amc
APH,2019-10-23,bmo
WPG,2019-10-23,amc
AMP,2019-10-23,amc
MMLP,2019-10-23,amc
QEP,2019-10-23,amc
FFIV,2019-10-23,amc
RCKY,2019-10-23,amc
NDAQ,2019-10-23,bmo
NGVT,2019-10-23,amc
HRI,2019-10-23,bmo
ECHO,2019-10-23,amc
LAD,2019-10-23,bmo
KNX,2019-10-23,bmo
RJF,2019-10-23,amc
OC,2019-10-23,bmo
PTC,2019-10-23,amc
AVY,2019-10-23,bmo
PNR,2019-10-23,bmo
ATNI,2019-10-23,amc
HLT,2019-10-23,bmo
RCI,2019-10-23,bmo
ALKS,2019-10-23,bmo
DHT,2019-10-23,amc
NTRS,2019-10-23,bmo
ESS,2019-10-23,amc
AKZOY,2019-10-23,--
EFX,2019-10-23,amc
SUI,2019-10-23,amc
NVZMY,2019-10-23,--
MKTX,2019-10-23,bmo
VAR,2019-10-23,amc
GL,2019-10-23,amc
FTI,2019-10-23,amc
SEIC,2019-10-23,amc
KRC,2019-10-23,amc
FBHS,2019-10-23,amc
ICLR,2019-10-23,amc
RHI,2019-10-23,amc
CUZ,2019-10-23,amc
BOKF,2019-10-23,bmo
FR,2019-10-23,amc
EGP,2019-10-23,amc
ASR,2019-10-23,--
SLAB,2019-10-23,bmo
PB,2019-10-23,bmo
MSA,2019-10-23,amc
TIGO,2019-10-23,amc
LSTR,2019-10-23,amc
BCO,2019-10-23,bmo
STL,2019-10-23,amc
UNF,2019-10-23,bmo
SLM,2019-10-23,amc
FCFS,2019-10-23,bmo
FSV,2019-10-23,bmo
SLGN,2019-10-23,bmo
BKU,2019-10-23,bmo
ISBC,2019-10-23,amc
CLGX,2019-10-23,amc
UFPI,2019-10-23,amc
VMI,2019-10-23,amc
CVBF,2019-10-23,amc
FIBK,2019-10-23,amc
ESRT,2019-10-23,amc
IBA,2019-10-23,--
AKR,2019-10-23,amc
SCL,2019-10-23,bmo
CLB,2019-10-23,amc
PLXS,2019-10-23,amc
APY,2019-10-23,amc
CADE,2019-10-23,bmo
WSBC,2019-10-23,amc
VNE,2019-10-23,bmo
CSTM,2019-10-23,bmo
BANR,2019-10-23,amc
KALU,2019-10-23,amc
HNI,2019-10-23,amc
GTY,2019-10-23,amc
KNL,2019-10-23,amc
EIG,2019-10-23,amc
MHO,2019-10-23,bmo
FBNC,2019-10-23,--
NXGN,2019-10-23,amc
RES,2019-10-23,bmo
SYBT,2019-10-23,--
CMRE,2019-10-23,amc
CPF,2019-10-23,bmo
HBNC,2019-10-23,--
NFBK,2019-10-23,--
OBNK,2019-10-23,amc
NTGR,2019-10-23,amc
KRA,2019-10-23,amc
CUBI,2019-10-23,amc
LOB,2019-10-23,amc
BANC,2019-10-23,bmo
LMAT,2019-10-23,amc
LBC,2019-10-23,amc
QCRH,2019-10-23,amc
PUB,2019-10-23,amc
OLBK,2019-10-23,--
FSB,2019-10-23,amc
SALT,2019-10-23,bmo
MX,2019-10-23,amc
FMNB,2019-10-23,--
OSBC,2019-10-23,amc
BCOV,2019-10-23,amc
MCB,2019-10-23,--
BFST,2019-10-23,--
HBMD,2019-10-23,bmo
ISTR,2019-10-23,--
ORRF,2019-10-23,--
SGC,2019-10-23,bmo
INBK,2019-10-23,amc
CZFS,2019-10-23,--
DNBF,2019-10-23,--
CYBE,2019-10-23,amc
USAP,2019-10-23,bmo
LMST,2019-10-23,--
SMED,2019-10-23,bmo
VGZ,2019-10-23,--
JMP,2019-10-23,--
AMZN,2019-10-24,amc
INTC,2019-10-24,amc
TWTR,2019-10-24,bmo
V,2019-10-24,amc
GILD,2019-10-24,amc
ILMN,2019-10-24,amc
RTN,2019-10-24,bmo
VLO,2019-10-24,bmo
ONDK,2019-10-24,bmo
MMM,2019-10-24,bmo
AAL,2019-10-24,bmo
NOC,2019-10-24,bmo
CY,2019-10-24,amc
CMCSA,2019-10-24,bmo
NOK,2019-10-24,bmo
LUV,2019-10-24,bmo
STM,2019-10-24,bmo
AEP,2019-10-24,bmo
ENVA,2019-10-24,amc
COG,2019-10-24,amc
AB,2019-10-24,bmo
ALK,2019-10-24,amc
COF,2019-10-24,amc
VALE,2019-10-24,--
EQNR,2019-10-24,bmo
BGCP,2019-10-24,bmo
DECK,2019-10-24,amc
FSLR,2019-10-24,amc
SWN,2019-10-24,amc
TSCO,2019-10-24,bmo
KIM,2019-10-24,bmo
AZN,2019-10-24,bmo
TRTN,2019-10-24,bmo
AFL,2019-10-24,amc
SWK,2019-10-24,bmo
HBAN,2019-10-24,bmo
AUY,2019-10-24,amc
XEL,2019-10-24,bmo
BJRI,2019-10-24,amc
CSLT,2019-10-24,amc
PFPT,2019-10-24,amc
HSY,2019-10-24,bmo
GNC,2019-10-24,bmo
SIVB,2019-10-24,amc
DHR,2019-10-24,bmo
PFG,2019-10-24,amc
VCRA,2019-10-24,amc
JNPR,2019-10-24,amc
ORI,2019-10-24,bmo
ODFL,2019-10-24,bmo
ANIK,2019-10-24,amc
SCHN,2019-10-24,bmo
EMN,2019-10-24,amc
TROW,2019-10-24,bmo
OMCL,2019-10-24,amc
EHTH,2019-10-24,amc
CINF,2019-10-24,amc
RMD,2019-10-24,amc
MHK,2019-10-24,amc
CERN,2019-10-24,amc
DDAIF,2019-10-24,--
CVA,2019-10-24,amc
HEES,2019-10-24,bmo
CMS,2019-10-24,bmo
FLEX,2019-10-24,amc
AIMC,2019-10-24,bmo
WERN,2019-10-24,amc
ADS,2019-10-24,bmo
TAL,2019-10-24,bmo
PATK,2019-10-24,bmo
MCS,2019-10-24,bmo
FIX,2019-10-24,amc
TECK,2019-10-24,bmo
VRSN,2019-10-24,amc
LOGM,2019-10-24,amc
CTXS,2019-10-24,bmo
LH,2019-10-24,bmo
BOOM,2019-10-24,amc
ROP,2019-10-24,bmo
BASFY,2019-10-24,--
SPSC,2019-10-24,amc
PRLB,2019-10-24,bmo
ASPS,2019-10-24,bmo
MTRN,2019-10-24,bmo
UHS,2019-10-24,amc
RBS,2019-10-24,--
FCN,2019-10-24,bmo
ENTG,2019-10-24,bmo
GLPG,2019-10-24,amc
ALGT,2019-10-24,amc
MSM,2019-10-24,bmo
AJG,2019-10-24,amc
FTV,2019-10-24,amc
GCAP,2019-10-24,amc
DOW,2019-10-24,bmo
DASTY,2019-10-24,bmo
DNHBY,2019-10-24,--
ALLE,2019-10-24,bmo
WST,2019-10-24,bmo
ERIE,2019-10-24,amc
RS,2019-10-24,bmo
AXTA,2019-10-24,bmo
FAF,2019-10-24,bmo
LPLA,2019-10-24,amc
CUBE,2019-10-24,amc
PAC,2019-10-24,--
IART,2019-10-24,bmo
BC,2019-10-24,bmo
NVST,2019-10-24,bmo
CRI,2019-10-24,bmo
GRA,2019-10-24,bmo
AVT,2019-10-24,amc
UBSI,2019-10-24,--
VLY,2019-10-24,bmo
FHB,2019-10-24,amc
TNET,2019-10-24,amc
PEB,2019-10-24,amc
FII,2019-10-24,amc
ASB,2019-10-24,amc
HLI,2019-10-24,amc
COLB,2019-10-24,bmo
POWI,2019-10-24,amc
VC,2019-10-24,bmo
WRE,2019-10-24,amc
CRS,2019-10-24,bmo
CXP,2019-10-24,amc
MNRO,2019-10-24,bmo
PRO,2019-10-24,amc
TOWN,2019-10-24,--
GWB,2019-10-24,bmo
FRME,2019-10-24,bmo
KN,2019-10-24,amc
FWRD,2019-10-24,amc
PTEN,2019-10-24,bmo
GPI,2019-10-24,bmo
OSIS,2019-10-24,amc
DRQ,2019-10-24,--
SBCF,2019-10-24,amc
SAH,2019-10-24,bmo
MXL,2019-10-24,amc
SAFE,2019-10-24,bmo
STBA,2019-10-24,bmo
VVI,2019-10-24,amc
OCFC,2019-10-24,amc
CASH,2019-10-24,amc
NTUS,2019-10-24,amc
HFWA,2019-10-24,bmo
CLS,2019-10-24,amc
OIS,2019-10-24,amc
BPFH,2019-10-24,amc
UTL,2019-10-24,bmo
CNOB,2019-10-24,bmo
CARO,2019-10-24,amc
LBAI,2019-10-24,--
BY,2019-10-24,amc
MSBI,2019-10-24,amc
BDGE,2019-10-24,amc
FORR,2019-10-24,amc
CURO,2019-10-24,amc
TBBK,2019-10-24,amc
FMBH,2019-10-24,amc
AGYS,2019-10-24,amc
ULH,2019-10-24,amc
MOFG,2019-10-24,amc
HTBK,2019-10-24,--
IBCP,2019-10-24,bmo
REVB,2019-10-24,--
ACBI,2019-10-24,amc
LAWS,2019-10-24,bmo
SONA,2019-10-24,--
MCBC,2019-10-24,--
BWB,2019-10-24,--
ALRS,2019-10-24,amc
PDS,2019-10-24,bmo
SMMF,2019-10-24,--
CLW,2019-10-24,amc
CSTR,2019-10-24,amc
TBNK,2019-10-24,--
PCB,2019-10-24,--
FSBW,2019-10-24,--
FBIZ,2019-10-24,--
BPRN,2019-10-24,--
SMSI,2019-10-24,amc
SB,2019-10-24,amc
RVSB,2019-10-24,--
OPBK,2019-10-24,--
FFNW,2019-10-24,--
FET,2019-10-24,amc
MRBK,2019-10-24,--
RNGR,2019-10-24,amc
GNCA,2019-10-24,bmo
SCSG,2019-10-24,--
VZ,2019-10-25,bmo
NRZ,2019-10-25,bmo
PSX,2019-10-25,bmo
VFC,2019-10-25,bmo
HUN,2019-10-25,bmo
VTR,2019-10-25,bmo
BUD,2019-10-25,bmo
BCS,2019-10-25,bmo
WY,2019-10-25,bmo
ITW,2019-10-25,bmo
PSXP,2019-10-25,bmo
GBX,2019-10-25,bmo
GT,2019-10-25,bmo
SJR,2019-10-25,bmo
CHTR,2019-10-25,bmo
UFS,2019-10-25,bmo
YNDX,2019-10-25,bmo
BEN,2019-10-25,bmo
LEA,2019-10-25,bmo
SCCO,2019-10-25,--
AON,2019-10-25,bmo
ALV,2019-10-25,bmo
KEX,2019-10-25,bmo
B,2019-10-25,bmo
ROCK,2019-10-25,bmo
PFS,2019-10-25,bmo
GVA,2019-10-25,bmo
LKFN,2019-10-25,bmo
SBSI,2019-10-25,bmo
VLRS,2019-10-25,amc
TILE,2019-10-25,bmo
WETF,2019-10-25,bmo
VRTS,2019-10-25,bmo
ABTX,2019-10-25,bmo
PGC,2019-10-25,--
THFF,2019-10-25,--
MNOV,2019-10-25,--
CIVB,2019-10-25,bmo
MPB,2019-10-25,--
SBBX,2019-10-25,--
CVEO,2019-10-25,bmo
SAL,2019-10-25,--
IBN,2019-10-26,--
VZ,2019-10-25,bmo
NRZ,2019-10-25,bmo
PSX,2019-10-25,bmo
VFC,2019-10-25,bmo
HUN,2019-10-25,bmo
VTR,2019-10-25,bmo
BUD,2019-10-25,bmo
BCS,2019-10-25,bmo
WY,2019-10-25,bmo
ITW,2019-10-25,bmo
PSXP,2019-10-25,bmo
GBX,2019-10-25,bmo
GT,2019-10-25,bmo
SJR,2019-10-25,bmo
CHTR,2019-10-25,bmo
UFS,2019-10-25,bmo
YNDX,2019-10-25,bmo
BEN,2019-10-25,bmo
LEA,2019-10-25,bmo
SCCO,2019-10-25,--
AON,2019-10-25,bmo
ALV,2019-10-25,bmo
KEX,2019-10-25,bmo
B,2019-10-25,bmo
ROCK,2019-10-25,bmo
PFS,2019-10-25,bmo
GVA,2019-10-25,bmo
LKFN,2019-10-25,bmo
SBSI,2019-10-25,bmo
VLRS,2019-10-25,amc
TILE,2019-10-25,bmo
WETF,2019-10-25,bmo
VRTS,2019-10-25,bmo
ABTX,2019-10-25,bmo
PGC,2019-10-25,--
THFF,2019-10-25,--
MNOV,2019-10-25,--
CIVB,2019-10-25,bmo
MPB,2019-10-25,--
SBBX,2019-10-25,--
CVEO,2019-10-25,bmo
SAL,2019-10-25,--
IBN,2019-10-26,--
ON,2019-10-27,bmo
LPT,2019-10-27,bmo
VZ,2019-10-25,bmo
NRZ,2019-10-25,bmo
PSX,2019-10-25,bmo
VFC,2019-10-25,bmo
HUN,2019-10-25,bmo
VTR,2019-10-25,bmo
BUD,2019-10-25,bmo
BCS,2019-10-25,bmo
WY,2019-10-25,bmo
ITW,2019-10-25,bmo
PSXP,2019-10-25,bmo
GBX,2019-10-25,bmo
GT,2019-10-25,bmo
SJR,2019-10-25,bmo
CHTR,2019-10-25,bmo
UFS,2019-10-25,bmo
YNDX,2019-10-25,bmo
BEN,2019-10-25,bmo
LEA,2019-10-25,bmo
SCCO,2019-10-25,--
AON,2019-10-25,bmo
ALV,2019-10-25,bmo
KEX,2019-10-25,bmo
B,2019-10-25,bmo
ROCK,2019-10-25,bmo
PFS,2019-10-25,bmo
GVA,2019-10-25,bmo
LKFN,2019-10-25,bmo
SBSI,2019-10-25,bmo
VLRS,2019-10-25,amc
TILE,2019-10-25,bmo
WETF,2019-10-25,bmo
VRTS,2019-10-25,bmo
ABTX,2019-10-25,bmo
PGC,2019-10-25,--
THFF,2019-10-25,--
MNOV,2019-10-25,--
CIVB,2019-10-25,bmo
MPB,2019-10-25,--
SBBX,2019-10-25,--
CVEO,2019-10-25,bmo
SAL,2019-10-25,--
IBN,2019-10-26,--
ON,2019-10-27,bmo
LPT,2019-10-27,bmo
VZ,2019-10-25,bmo
NRZ,2019-10-25,bmo
PSX,2019-10-25,bmo
VFC,2019-10-25,bmo
HUN,2019-10-25,bmo
VTR,2019-10-25,bmo
BUD,2019-10-25,bmo
BCS,2019-10-25,bmo
WY,2019-10-25,bmo
ITW,2019-10-25,bmo
PSXP,2019-10-25,bmo
GBX,2019-10-25,bmo
GT,2019-10-25,bmo
SJR,2019-10-25,bmo
CHTR,2019-10-25,bmo
UFS,2019-10-25,bmo
YNDX,2019-10-25,bmo
BEN,2019-10-25,bmo
LEA,2019-10-25,bmo
SCCO,2019-10-25,--
AON,2019-10-25,bmo
ALV,2019-10-25,bmo
KEX,2019-10-25,bmo
B,2019-10-25,bmo
ROCK,2019-10-25,bmo
PFS,2019-10-25,bmo
GVA,2019-10-25,bmo
LKFN,2019-10-25,bmo
SBSI,2019-10-25,bmo
VLRS,2019-10-25,amc
TILE,2019-10-25,bmo
WETF,2019-10-25,bmo
VRTS,2019-10-25,bmo
ABTX,2019-10-25,bmo
PGC,2019-10-25,--
THFF,2019-10-25,--
MNOV,2019-10-25,--
CIVB,2019-10-25,bmo
MPB,2019-10-25,--
SBBX,2019-10-25,--
CVEO,2019-10-25,bmo
SAL,2019-10-25,--
IBN,2019-10-26,--
ON,2019-10-27,bmo
LPT,2019-10-27,bmo
T,2019-10-28,bmo
GOOGL,2019-10-28,amc
EPD,2019-10-28,bmo
GOOG,2019-10-28,amc
WBA,2019-10-28,bmo
CRSP,2019-10-28,--
XPO,2019-10-28,amc
GRUB,2019-10-28,bmo
SPOT,2019-10-28,bmo
AVX,2019-10-28,bmo
AKAM,2019-10-28,amc
TMUS,2019-10-28,amc
WELL,2019-10-28,amc
NXPI,2019-10-28,amc
RIG,2019-10-28,amc
ARLP,2019-10-28,bmo
MEDP,2019-10-28,amc
AROC,2019-10-28,amc
HSII,2019-10-28,amc
CGNX,2019-10-28,amc
HSBC,2019-10-28,bmo
MCY,2019-10-28,bmo
HLIT,2019-10-28,amc
LEG,2019-10-28,amc
TREX,2019-10-28,amc
DTE,2019-10-28,bmo
CR,2019-10-28,amc
NOV,2019-10-28,amc
APPF,2019-10-28,amc
CTB,2019-10-28,bmo
EHC,2019-10-28,amc
ARE,2019-10-28,amc
CHKP,2019-10-28,bmo
BRX,2019-10-28,amc
AMKR,2019-10-28,amc
QSR,2019-10-28,bmo
DO,2019-10-28,bmo
TXRH,2019-10-28,amc
WIRE,2019-10-28,amc
WCN,2019-10-28,amc
AMG,2019-10-28,bmo
L,2019-10-28,bmo
AVB,2019-10-28,amc
DORM,2019-10-28,bmo
QURE,2019-10-28,--
OFIX,2019-10-28,amc
CAJ,2019-10-28,bmo
SBAC,2019-10-28,amc
VNO,2019-10-28,amc
CNA,2019-10-28,bmo
RE,2019-10-28,amc
BRO,2019-10-28,amc
GDI,2019-10-28,amc
HTA,2019-10-28,amc
OMF,2019-10-28,amc
BYND,2019-10-28,amc
OGS,2019-10-28,amc
AWI,2019-10-28,bmo
BLKB,2019-10-28,amc
SSD,2019-10-28,amc
BOH,2019-10-28,bmo
JBT,2019-10-28,amc
OFC,2019-10-28,amc
TCF,2019-10-28,amc
PCH,2019-10-28,amc
SSB,2019-10-28,amc
SANM,2019-10-28,amc
VRNS,2019-10-28,amc
ROIC,2019-10-28,amc
HTLF,2019-10-28,amc
NBTB,2019-10-28,--
INST,2019-10-28,amc
PRK,2019-10-28,--
BHLB,2019-10-28,amc
TRTX,2019-10-28,amc
OI,2019-10-28,amc
TCBK,2019-10-28,--
TBI,2019-10-28,amc
GABC,2019-10-28,--
CKH,2019-10-28,--
OPB,2019-10-28,bmo
CPAC,2019-10-28,amc
AMAL,2019-10-28,bmo
HEXO,2019-10-28,amc
SBT,2019-10-28,amc
NXE,2019-10-28,--
CSV,2019-10-28,amc
KNSA,2019-10-28,--
BCML,2019-10-28,--
NRIM,2019-10-28,--
CBFV,2019-10-28,--
IVAC,2019-10-28,amc
LXU,2019-10-28,amc
CZWI,2019-10-28,--
SBFG,2019-10-28,amc
AGRX,2019-10-28,--
VZ,2019-10-25,bmo
NRZ,2019-10-25,bmo
PSX,2019-10-25,bmo
VFC,2019-10-25,bmo
HUN,2019-10-25,bmo
VTR,2019-10-25,bmo
BUD,2019-10-25,bmo
